	Kingdom	Phyla	Class	Order	Family	Genus	Species	Kingdom_Eukaryome	Phylum_Eukaryome	Class_Eukaryome	Order_Eukaryome	Family_Eukaryome	Genus_Eukaryome	Species_Eukaryome
Taxa_1020	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	tricinctum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	tricinctum
Taxa_1097	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Symmetrosporaceae	Symmetrospora	coprosmae	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_incertae_sedis	Symmetrosporaceae	Symmetrospora	coprosmae
Taxa_1130	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	frontalis	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	californiae
Taxa_1140	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Zopfiella	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	Bombardiaceae	Ramophialophora	NA
Taxa_1146	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	oregonensis	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
Taxa_1247	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	NA	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Gelasinospora	NA
Taxa_1260	Fungi	Chytridiomycota	Chytridiomycota_cls_Incertae_sedis	Chytridiomycota_ord_Incertae_sedis	Chytridiomycota_fam_Incertae_sedis	Chytridiomycota_gen_Incertae_sedis	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_1264	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	prosopidis	Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Debaryomyces	psychrophila
Taxa_1300	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Chaetosphaeronema	achilleae	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiobolus	cirsii
Taxa_1347	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
Taxa_1400	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Caecomyces	NA	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	californiae
Taxa_1405	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Alfaria	putrefolia	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Xepicula	leucotricha
Taxa_1429	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	intermedia	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	intermedia
Taxa_1430	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	arrhizus	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Amylomyces	NA
Taxa_1456	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	oeirense	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	oeirense
Taxa_1485	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Pannariaceae	Pectenia	NA
Taxa_1503	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	penicillioides	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
Taxa_1518	Fungi	Ascomycota	Sordariomycetes	Sordariales	Schizotheciaceae	Morinagamyces	vermicularis	Fungi	Ascomycota	Sordariomycetes	Sordariales	Bombardiaceae	Ramophialophora	NA
Taxa_1522	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Kernia	columnaris	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	NA
Taxa_1543	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	tardicrescens	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
Taxa_1544	Fungi	NA	NA	NA	NA	NA	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_1553	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Arnium	arizonense	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Triangularia	verruculosa
Taxa_1558	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
Taxa_1581	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
Taxa_1592	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
Taxa_1664	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	furfuraceus	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	NA
Taxa_1728	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	oligospora	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella.s.str	polygonia
Taxa_1745	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Microascaceae_gen_Incertae_sedis	NA	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	NA	NA
Taxa_1768	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	brachygibbosum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	brachygibbosum
Taxa_1815	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	frontalis	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	californiae
Taxa_1829	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	sclerotiorum
