query_id	parent_id	similarity	query_total_abundance	parent_total_abundance	query_overlap_abundance	parent_overlap_abundance	query_incidence	parent_incidence	common_incidence	smallest_ratio	sum_ratio	avg_ratio	smallest_non_null_ratio	avg_non_null_ratio	largest_ratio	relative_incidence	status
Taxa_2189	Taxa_940	91.40	23	101	23	18	1	3	1	0.78	0.78	0.78	0.78	0.78	0.78	1.00	rejected
Taxa_2189	Taxa_387	91.00	23	545	23	65	1	7	1	2.83	2.83	2.83	2.83	2.83	2.83	1.00	accepted
Taxa_2585	Taxa_1636	95.70	25	37	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2585	Taxa_404	95.30	25	690	0	0	2	11	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2585	Taxa_1423	93.80	25	46	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2585	Taxa_492	93.40	25	225	0	0	2	5	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2669	Taxa_840	96.60	17	171	0	0	1	6	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2669	Taxa_37	94.70	17	6637	17	289	1	36	1	17.00	17.00	17.00	17.00	17.00	17.00	1.00	accepted
Taxa_2594	Taxa_2118	94.20	18	25	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2594	Taxa_858	93.50	18	195	0	0	1	5	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2594	Taxa_2045	93.50	18	26	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2594	Taxa_301	93.10	18	427	0	0	1	5	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2594	Taxa_873	93.10	18	92	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2594	Taxa_2121	93.10	18	25	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2594	Taxa_1898	92.80	18	30	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3535	Taxa_522	92.10	11	702	11	99	1	10	1	9.00	9.00	9.00	9.00	9.00	9.00	1.00	accepted
Taxa_3121	Taxa_404	97.30	14	690	0	0	1	11	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3121	Taxa_1636	96.90	14	37	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3121	Taxa_492	94.90	14	225	0	0	1	5	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3121	Taxa_2585	94.90	14	25	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3121	Taxa_1423	94.10	14	46	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3121	Taxa_2185	93.40	14	23	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3121	Taxa_2703	93.00	14	17	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1497	Taxa_485	91.00	43	420	43	160	3	9	3	2.69	12.32	4.11	2.69	4.11	6.00	1.00	accepted
Taxa_2201	Taxa_731	93.40	23	125	0	0	2	15	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2201	Taxa_1629	93.40	23	42	0	0	2	5	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2201	Taxa_659	93.00	23	152	0	0	2	12	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2201	Taxa_942	91.50	23	95	0	0	2	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2620	Taxa_2096	95.30	18	33	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2985	Taxa_815	86.10	15	100	0	0	2	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2626	Taxa_980	85.50	18	121	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2626	Taxa_11	84.60	18	11739	0	0	1	55	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2628	Taxa_2722	96.70	18	23	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_5827	Taxa_2589	88.80	4	22	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_5827	Taxa_709	85.20	4	124	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_5827	Taxa_3635	84.50	4	11	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_5827	Taxa_4818	84.10	4	6	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2639	Taxa_810	90.30	18	101	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2639	Taxa_951	90.30	18	82	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2639	Taxa_2365	89.60	18	49	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2639	Taxa_216	89.20	18	704	18	626	1	2	1	34.78	34.78	34.78	34.78	34.78	34.78	1.00	accepted
Taxa_2643	Taxa_873	87.40	18	92	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2643	Taxa_1755	87.40	18	72	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2643	Taxa_1241	87.00	18	106	18	56	1	3	1	3.11	3.11	3.11	3.11	3.11	3.11	1.00	accepted
Taxa_2649	Taxa_879	92.80	18	121	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2649	Taxa_1848	92.80	18	31	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2649	Taxa_2083	92.10	18	25	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2649	Taxa_438	91.30	18	240	0	0	1	8	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2649	Taxa_863	91.30	18	191	0	0	1	7	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2649	Taxa_1108	90.00	18	109	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2649	Taxa_1407	90.00	18	65	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2365	Taxa_257	93.20	49	486	37	437	3	3	2	0.00	24.68	8.23	8.43	12.34	16.25	0.67	rejected
Taxa_2365	Taxa_810	92.80	49	101	37	83	3	3	2	0.00	4.65	1.55	1.71	2.33	2.94	0.67	rejected
Taxa_2365	Taxa_216	91.70	49	704	12	78	3	2	1	0.00	6.50	2.17	6.50	6.50	6.50	0.33	rejected
Taxa_2365	Taxa_486	91.40	49	247	37	168	3	4	2	0.00	9.32	3.11	3.76	4.66	5.56	0.67	rejected
Taxa_2365	Taxa_951	90.30	49	82	21	82	3	1	1	0.00	3.90	1.30	3.90	3.90	3.90	0.33	rejected
Taxa_2787	Taxa_953	96.00	16	94	0	0	2	6	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_25	Taxa_9	96.40	7798	43149	7798	40727	18	23	18	1.90	116.44	6.47	1.90	6.47	27.03	1.00	accepted
Taxa_5627	Taxa_1507	93.60	4	42	0	0	1	5	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_249	Taxa_166	92.40	601	881	575	881	8	7	7	0.00	37.80	4.72	0.19	5.40	22.77	0.88	rejected
Taxa_2879	Taxa_2046	93.90	16	50	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2879	Taxa_1093	92.80	16	67	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2879	Taxa_2260	92.80	16	22	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2879	Taxa_742	92.10	16	208	0	0	1	9	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2879	Taxa_225	90.60	16	862	0	0	1	13	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2879	Taxa_1094	90.60	16	67	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2879	Taxa_581	90.30	16	212	16	10	1	4	1	0.62	0.62	0.62	0.62	0.62	0.62	1.00	rejected
Taxa_2879	Taxa_3455	90.30	16	19	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1860	Taxa_1081	91.70	31	69	3	69	4	1	1	0.00	23.00	5.75	23.00	23.00	23.00	0.25	rejected
Taxa_257	Taxa_216	91.70	486	704	0	0	3	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2995	Taxa_1682	95.30	15	54	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3331	Taxa_1867	94.40	12	30	12	5	1	3	1	0.42	0.42	0.42	0.42	0.42	0.42	1.00	rejected
Taxa_1753	Taxa_1086	94.90	34	68	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1753	Taxa_882	93.90	34	174	0	0	1	5	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1753	Taxa_1305	93.90	34	93	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1753	Taxa_930	93.50	34	120	0	0	1	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1753	Taxa_873	93.50	34	92	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1753	Taxa_1651	93.20	34	84	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1753	Taxa_1831	93.20	34	71	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_1753	Taxa_562	93.10	34	199	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2703	Taxa_1636	93.00	17	37	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2703	Taxa_404	91.80	17	690	17	138	1	11	1	8.12	8.12	8.12	8.12	8.12	8.12	1.00	accepted
Taxa_2713	Taxa_331	92.50	28	425	0	0	2	19	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2742	Taxa_2508	86.80	17	19	0	0	2	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2742	Taxa_2191	85.80	17	23	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2746	Taxa_2639	92.80	17	18	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2746	Taxa_2365	91.40	17	49	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2746	Taxa_216	89.90	17	704	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2746	Taxa_810	89.90	17	101	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2746	Taxa_951	89.90	17	82	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2746	Taxa_257	88.50	17	486	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
