	samples_names_common	Sample_names	Projet
samp_PC5-1-5_S308	samp_PC5-1-5_S308	PC5-1-5_S308	DIVFUN
samp_PC5-2_S309	samp_PC5-2_S309	PC5-2_S309	DIVFUN
samp_PC5-3_S310	samp_PC5-3_S310	PC5-3_S310	DIVFUN
samp_PRL1-1-1_S311	samp_PRL1-1-1_S311	PRL1-1-1_S311	DIVFUN
samp_PRL1-1-2_S312	samp_PRL1-1-2_S312	PRL1-1-2_S312	DIVFUN
samp_PRL1-1-3_S313	samp_PRL1-1-3_S313	PRL1-1-3_S313	DIVFUN
samp_PRL1-1-4_S314	samp_PRL1-1-4_S314	PRL1-1-4_S314	DIVFUN
samp_PRL1-1-5_S315	samp_PRL1-1-5_S315	PRL1-1-5_S315	DIVFUN
samp_PRL1-2_S316	samp_PRL1-2_S316	PRL1-2_S316	DIVFUN
samp_PRL1-3_S317	samp_PRL1-3_S317	PRL1-3_S317	DIVFUN
samp_PRL2-1-1_S318	samp_PRL2-1-1_S318	PRL2-1-1_S318	DIVFUN
samp_PRL2-1-2_S319	samp_PRL2-1-2_S319	PRL2-1-2_S319	DIVFUN
samp_PRL2-1-3_S320	samp_PRL2-1-3_S320	PRL2-1-3_S320	DIVFUN
samp_PRL2-1-4_S321	samp_PRL2-1-4_S321	PRL2-1-4_S321	DIVFUN
samp_PRL2-1-5_S322	samp_PRL2-1-5_S322	PRL2-1-5_S322	DIVFUN
samp_PRL2-2_S323	samp_PRL2-2_S323	PRL2-2_S323	DIVFUN
samp_PRL2-3-1_S324	samp_PRL2-3-1_S324	PRL2-3-1_S324	DIVFUN
samp_PRL2-3-2_S325	samp_PRL2-3-2_S325	PRL2-3-2_S325	DIVFUN
samp_PRL2-3-3_S326	samp_PRL2-3-3_S326	PRL2-3-3_S326	DIVFUN
samp_PRL2-3-4_S327	samp_PRL2-3-4_S327	PRL2-3-4_S327	DIVFUN
samp_PRL2-3-5_S328	samp_PRL2-3-5_S328	PRL2-3-5_S328	DIVFUN
samp_PRL3-2_S330	samp_PRL3-2_S330	PRL3-2_S330	DIVFUN
samp_PRL3-3_S331	samp_PRL3-3_S331	PRL3-3_S331	DIVFUN
samp_PRL3-4_S332	samp_PRL3-4_S332	PRL3-4_S332	DIVFUN
samp_PRL4-1_S333	samp_PRL4-1_S333	PRL4-1_S333	DIVFUN
samp_PRL4-2_S334	samp_PRL4-2_S334	PRL4-2_S334	DIVFUN
samp_PRL4-3_S335	samp_PRL4-3_S335	PRL4-3_S335	DIVFUN
samp_PRL5-2_S336	samp_PRL5-2_S336	PRL5-2_S336	DIVFUN
samp_PRL5-3_S337	samp_PRL5-3_S337	PRL5-3_S337	DIVFUN
samp_PRL6-1_S338	samp_PRL6-1_S338	PRL6-1_S338	DIVFUN
samp_PRL6-2_S339	samp_PRL6-2_S339	PRL6-2_S339	DIVFUN
samp_PRL6-3_S340	samp_PRL6-3_S340	PRL6-3_S340	DIVFUN
